"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"PTA New York Congress","11-2935444","2018-07-01","2019-06-30","0000","2018","990EZ","50 Spence Ave","","Holtsville","NY","Suffolk",="11742","631-244-5680","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","N","ANDREA H. YELLEN, CPA","http://www.guidestar.org/profile/11-2935444","http://www.guidestar.org/FinDocuments/2019/112/935/2019-112935444-17137853-Z.pdf","$35,523","$35,523","","$35,523","","","","$49,408","$86,960","","$1,642","","","$14,443","$33,323","","","","-$4,465","","","","","","","","","","","","","","","","","","",""
"Technology for Language & Learning Inc","11-2936359","","","1989","","","327 Roosevelt Way","","Westbury","NY","Nassau",="11590","","","501(c)(3) Public Charity","Educational management","","","B02 (Management & Technical Assistance)","541618","8748","","","","","http://www.guidestar.org/profile/11-2936359","http://www.guidestar.org/FinDocuments/2012/112/936/2012-112936359-086e761b-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2937851","","","1954","","","180 Lawrence Rd","","Kings Park","NY","Suffolk",="11754","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2937851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Congregation Mercaz Hatorah of Belle Harbor","11-2943122","","","1989","","","505 Beach 129th St","","Rockaway Park","NY","Queens",="11694","","","501(c)(3) Public Charity","Secondary education","","","X20 (Christian)","813110","8661","","","","","http://www.guidestar.org/profile/11-2943122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Island Language Teachers Inc","11-2945709","2018-01-01","2018-12-31","2004","2018","990EZ","115 Watts Pl","","West Islip","NY","Suffolk",="11795","","","501(c)(3) Public Charity","Education","","","B03 (Professional Societies & Associations)","813920","8621","","","","Stewart Gelman & Associates CPAs PC","http://www.guidestar.org/profile/11-2945709","http://www.guidestar.org/FinDocuments/2018/112/945/2018-112945709-10e755e6-Z.pdf","$11,948","$11,948","","$11,948","","","","$24,459","$24,459","$2","$10,020","","","","","$0","","","$32,537","","","","","","","","","","","","$278","","","","","","",""
"Long Island Chapter Cpoa","11-2946821","","","2014","","","5520 Hempstead Way Ste G","","Springfield","VA","Fairfax",="22151","","","501(c)(19) (Post or Organizations of War Veterans)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2946821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ronkonkoma Youth Organization Inc","11-2946976","","","0000","","","25 Audubon Ave","","Holbrook","NY","Suffolk",="11741","","","501(c)(7) (Social and Recreation Clubs)","Youth services","","","P30 (Children's and Youth Services)","624110","8322","","","","","http://www.guidestar.org/profile/11-2946976","http://www.guidestar.org/FinDocuments/2007/112/946/2007-112946976-0422a159-9O.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sookmyung Women's University Alumni Association of Greater New York","11-2947235","","","1989","","","15 Cherrywood Dr","","New Hyde Park","NY","Nassau",="11040","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/11-2947235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Deborah Salem Foundation","11-2947586","2018-10-01","2019-09-30","1989","2018","990EZ","302 5th Ave Fl 4","","New York","NY","New York",="10001","","N/A","501(c)(3) Public Charity","Human services","","","P12 (Fund Raising and/or Fund Distribution)","813219","8399","","","","WASSERBRETTLERKLAR & LIPSTEIN LLP CPA","http://www.guidestar.org/profile/11-2947586","http://www.guidestar.org/FinDocuments/2018/112/947/2018-112947586-111aada3-Z.pdf","$39,162","$39,162","","$39,162","","","","$38,161","$38,161","$119","$38,000","","","","","","","","$59,645","","","","","","","","","","","","","","","","","","",""
"Catholic War Veterans of the United States of America Inc","11-2948690","","","1972","","","74 13 87th Ave","","Woodhaven","NY","Queens",="11421","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Special population support","","","W30 (Military/Veterans' Organizations)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2948690","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatian Fraternal Union of America","11-2948934","","","1941","","","1031 166th St","","Whitestone","NY","Queens",="11357","","","501(c)(8) (Fraternal Beneficiary Societies)","Shelter and residential care","","","L99 (Other Housing, Shelter N.E.C.)","624229","8322","","","","","http://www.guidestar.org/profile/11-2948934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Friends of Yeshiva Shaarei Yerushalayim","11-2949881","","","1989","","","13726 73rd Ter","","Flushing","NY","Queens",="11367","","","501(c)(3) Public Charity","Education","","","B12 (Fund Raising and/or Fund Distribution)","813219","8399","","","","","http://www.guidestar.org/profile/11-2949881","http://www.guidestar.org/FinDocuments/2007/112/949/2007-112949881-0528e9f3-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Khal Chasidei Belz","11-2951510","","","1989","","","240 Keap St","","Brooklyn","NY","Kings",="11211","","","501(c)(3) Public Charity","Education","","","","","","","","","","http://www.guidestar.org/profile/11-2951510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brooklyn Public Library Foundation, Inc.","11-2951651","","","1989","","","10 Grand Army Plz","","Brooklyn","NY","Kings",="11238","","","501(c)(3) Public Charity","Arts and culture","Education","Public libraries","A99 (Other Art, Culture, Humanities Organizations/Services N.E.C.)","71","","","","","","http://www.guidestar.org/profile/11-2951651","http://www.guidestar.org/FinDocuments/2009/112/951/2009-112951651-064df0db-9A.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hadassah the Womens Zionist Organization of America","11-2951991","","","1943","","","17 Crescent Cir","","Holbrook","NY","Suffolk",="11741","","","501(c)(3) Public Charity","Women's rights","","","R24 (Women's Rights)","813311","8399","","","","","http://www.guidestar.org/profile/11-2951991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abeny Inc","11-2952041","2018-09-01","2019-08-31","1995","2018","990EZ","PO Box 367","","New York","NY","New York",="10028","917-312-3823","www.ABENY.org","501(c)(3) Public Charity","Education","","","B03 (Professional Societies & Associations)","813920","8621","","","","Senn V Jennings CPA","http://www.guidestar.org/profile/11-2952041","http://www.guidestar.org/FinDocuments/2018/112/952/2018-112952041-104d7423-Z.pdf","$92,433","$92,433","","$92,433","","","","$22,917","$51,012","$71","$7,840","","$12,721","$0","$2,285","","","","$17,897","","","","","","","","","","","","$3,134","","","","","","",""
"Community Center of Plainview-Old Bethpage","11-2953387","","","1990","","","PO Box 334","","Plainview","NY","Nassau",="11803","","","501(c)(3) Public Charity","Human services","","","P28 (Neighborhood Center, Settlement House)","624190","8322","","","","","http://www.guidestar.org/profile/11-2953387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Our Lady of Guadalupe Youth Program Inc","11-2954315","","","1989","","","7201 15th Ave","","Brooklyn","NY","Kings",="11228","","","501(c)(3) Public Charity","Human services","","","P99 (Human Services - Multipurpose and Other N.E.C.)","624190","8322","","","","","http://www.guidestar.org/profile/11-2954315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"St Marys Community Services Inc","11-2954971","","","1991","","","230 Classon Ave","","Brooklyn","NY","Kings",="11205","","","501(c)(3) Public Charity","Human services","","","P80 (Services to Promote the Independence of Specific Populations)","624120","8322","","","","","http://www.guidestar.org/profile/11-2954971","http://www.guidestar.org/FinDocuments/2013/112/954/2013-112954971-09b5487a-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anglican High School Past Pupils Association Inc","11-2955082","","","1997","","","583 E 79th St","","Brooklyn","NY","Kings",="11236","","","501(c)(4) (Civic Leagues and Social Welfare Organizations)","Secondary education","","","B25 (Secondary/High School)","611110","8211","","","","","http://www.guidestar.org/profile/11-2955082","http://www.guidestar.org/FinDocuments/2012/112/955/2012-112955082-09302ec6-ZO.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Home Sweet Home","11-2955614","","","1989","","","1960 Schenectady Ave","","Brooklyn","NY","Kings",="11234","","","501(c)(3) Public Charity","Shelter and residential care","","","L99 (Other Housing, Shelter N.E.C.)","624229","8322","","","","","http://www.guidestar.org/profile/11-2955614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Faith Baptist Church of Coram Youth Awareness Inc","11-2955779","2018-01-01","2018-12-31","1995","2018","990EZ","PO Box 151","","Coram","NY","Suffolk",="11727","631-732-9605","","501(c)(3) Public Charity","Scouting programs","","","O40 (Scouting)","813410","8641","8699","","N","","http://www.guidestar.org/profile/11-2955779","http://www.guidestar.org/FinDocuments/2018/112/955/2018-112955779-10eb0fca-Z.pdf","-$2,945","-$2,945","","-$2,945","","","","$159,893","$159,893","$0","$0","","$0","$0","$159,893","$0","","","$170,960","","","","","","","","","","","","$13,848","","","","","","",""
"PTA New York Congress","11-2958699","","","1954","","","100 Central Rd","","Smithtown","NY","Suffolk",="11787","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2958699","http://www.guidestar.org/FinDocuments/2011/112/958/2011-112958699-08689112-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"People Day Care Inc","11-2961579","","","1993","","","121 Riverdale Ave","","Brooklyn","NY","Kings",="11212","","","501(c)(3) Public Charity","Child care","","","P33 (Child Day Care)","624410","8351","","","","","http://www.guidestar.org/profile/11-2961579","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2963782","2017-07-01","2018-06-30","1985","2017","990EZ","50 Dogwood Dr","","Smithtown","NY","Suffolk",="11787","631-382-4255","www.smithtowndepta.ch2v.com","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","P Bradley & Associates LLC","http://www.guidestar.org/profile/11-2963782","http://www.guidestar.org/FinDocuments/2019/112/963/2019-112963782-11632e67-Z.pdf","$52,566","$52,566","","$52,566","","","","$84,315","$108,704","$0","$2,350","","$66,116","$0","$15,849","","","","$44,908","","","","","","","","","","","","$915","","","","","","",""
"Martin J Knorr Caregivers Center Inc","11-2964563","","","1990","","","7248 Cooper Ave","","Glendale","NY","Queens",="11385","","","501(c)(3) Public Charity","Human services","","","P03 (Professional Societies, Associations)","813920","8621","","","","","http://www.guidestar.org/profile/11-2964563","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Friends of the Shelter Island Public Library Society Inc","11-2966651","2018-01-01","2018-12-31","1989","2018","990EZ","PO Box 2016","","Shelter Island","NY","Suffolk",="11964","631-749-0405","N/A","501(c)(3) Public Charity","Education","","","B11 (Single Organization Support)","813219","8399","","","N","Leonard I Palevsky & Co CPA PC","http://www.guidestar.org/profile/11-2966651","http://www.guidestar.org/FinDocuments/2018/112/966/2018-112966651-17069073-Z.pdf","$430,053","$430,053","","$430,053","","","","$48,988","$152,752","$33,584","$4,135","","","","$15,581","","","","$46,582","","","","","","","","","","","","","","","","","","",""
"Hands On Sign Interpreted Performances Inc","11-2969718","2018-07-01","2019-06-30","1993","2018","990","15900 Riverside Dr W","","New York","NY","New York",="10032","212-740-3087","www.handson.org","501(c)(3) Public Charity","Special population support","","","P80 (Services to Promote the Independence of Specific Populations)","624120","8322","","N","","ANTHONY G PIRRO CPA PC","http://www.guidestar.org/profile/11-2969718","http://www.guidestar.org/FinDocuments/2019/112/969/2019-112969718-17119361-9.pdf","$18,535","$16,987","$740","$15,519","","","","$116,474","$116,474","$331","$116,143","$13,017","","","","$3,016","$0","","$108,957","$63,685","$45,272","$0","$1,400","","","","$47","","","","","","Beth Prevor","","","","","0"
"PTA New York Congress","11-2970213","","","1954","","","98 Ann Dr","","Syosset","NY","Nassau",="11791","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2970213","http://www.guidestar.org/FinDocuments/2006/112/970/2006-112970213-02791527-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTA New York Congress","11-2970223","","","1970","","","1 Club Ln","","Hauppauge","NY","Suffolk",="11788","","","501(c)(3) Public Charity","Parent-teacher involvement","","","B94 (Parent Teacher Group)","813410","8641","8699","","","","http://www.guidestar.org/profile/11-2970223","http://www.guidestar.org/FinDocuments/2011/112/970/2011-112970223-07cd0bcb-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
